Strain      Tension
(-)         (N)
0.0000E+00  0.000E+00 
2.0928E-03  4.098E+05
4.1855E-03  7.977E+05
6.2783E-03  1.166E+06
8.3710E-03  1.518E+06
1.0464E-02  1.854E+06
1.2557E-02  2.179E+06
1.4649E-02  2.493E+06
1.6742E-02  2.800E+06
1.8835E-02  3.102E+06
2.0928E-02  3.401E+06
2.3020E-02  3.700E+06
2.5113E-02  4.001E+06
2.7206E-02  4.306E+06
2.9299E-02  4.617E+06
3.1391E-02  4.938E+06
3.3484E-02  5.270E+06
3.5577E-02  5.617E+06
3.7670E-02  5.979E+06
3.9762E-02  6.360E+06
4.1855E-02  6.762E+06
4.3948E-02  7.188E+06
4.6041E-02  7.639E+06
4.8133E-02  8.118E+06
5.0226E-02  8.628E+06
5.2319E-02  9.171E+06
5.4412E-02  9.749E+06
5.6504E-02  1.036E+07
5.8597E-02  1.102E+07
6.0690E-02  1.172E+07
