Strain      Tension
(-)         (N)
0.0000E+00   0.000E+00
2.0928E-03   2.280E+05
4.1855E-03   4.439E+05
6.2783E-03   6.490E+05
8.3710E-03   8.445E+05
1.0464E-02   1.032E+06
1.2557E-02   1.212E+06
1.4649E-02   1.388E+06
1.6742E-02   1.558E+06
1.8835E-02   1.726E+06
2.0928E-02   1.893E+06
2.3020E-02   2.059E+06
2.5113E-02   2.226E+06
2.7206E-02   2.396E+06
2.9299E-02   2.569E+06
3.1391E-02   2.748E+06
3.3484E-02   2.933E+06
3.5577E-02   3.125E+06
3.7670E-02   3.327E+06
3.9762E-02   3.539E+06
4.1855E-02   3.763E+06
4.3948E-02   4.000E+06
4.6041E-02   4.251E+06
4.8133E-02   4.517E+06
5.0226E-02   4.801E+06
5.2319E-02   5.103E+06
5.4412E-02   5.425E+06
5.6504E-02   5.767E+06
5.8597E-02   6.132E+06
6.0690E-02   6.521E+06
