Strain      Tension
(-)         (N)
0.0000E+00  0.0000E+00 
2.0690E-03  4.6581E+05
4.1379E-03  8.9750E+05
6.2069E-03  1.2984E+06
8.2759E-03  1.6719E+06
1.0345E-02  2.0213E+06
1.2414E-02  2.3500E+06
1.4483E-02  2.6613E+06
1.6552E-02  2.9585E+06
1.8621E-02  3.2451E+06
2.0690E-02  3.5244E+06
2.2759E-02  3.7997E+06
2.4828E-02  4.0744E+06
2.6897E-02  4.3518E+06
2.8966E-02  4.6352E+06
3.1035E-02  4.9281E+06
3.3103E-02  5.2337E+06
3.5172E-02  5.5555E+06
3.7241E-02  5.8968E+06
3.9310E-02  6.2608E+06
4.1379E-02  6.6511E+06
4.3448E-02  7.0709E+06
4.5517E-02  7.5235E+06
4.7586E-02  8.0124E+06
4.9655E-02  8.5408E+06
5.1724E-02  9.1121E+06
5.3793E-02  9.7298E+06
5.5862E-02  1.0397E+07
5.7931E-02  1.1117E+07
6.0000E-02  1.1894E+07
